EcologExpTime,PlateCode,C -Source,Well,OD700,WellNr,Date,Time
0,1,Water,A1,0.052,1,14/06/2012,22:02:53
0,1,_-Methyl-D-Glucoside,A2,0.044,2,14/06/2012,22:02:53
0,1,D-Galactonic Acid _-Lactone,A3,0.042,3,14/06/2012,22:02:53
0,1,L-Arginine,A4,0.053,4,14/06/2012,22:02:53
0,1,Pyruvic Acid Methyl Ester,B1,0.046,5,14/06/2012,22:02:53
0,1,D-Xylose,B2,0.04,6,14/06/2012,22:02:53
0,1,D-Galacturonic Acid,B3,0.086,7,14/06/2012,22:02:53
0,1,L-Asparagine,B4,0.124,8,14/06/2012,22:02:53
0,1,Tween 40,C1,0.043,9,14/06/2012,22:02:53
0,1,i-Erythritol,C2,0.041,10,14/06/2012,22:02:53
0,1,2-Hydroxy Benzoic Acid,C3,0.038,11,14/06/2012,22:02:53
0,1,L-Phenylalanine,C4,0.052,12,14/06/2012,22:02:53
0,1,Tween 80,D1,0.042,13,14/06/2012,22:02:53
0,1,D-Mannitol,D2,0.057,14,14/06/2012,22:02:53
0,1,4-Hydroxy Benzoic Acid,D3,0.043,15,14/06/2012,22:02:53
0,1,L-Serine,D4,0.043,16,14/06/2012,22:02:53
0,1,_-Cyclodextrin,E1,0.04,17,14/06/2012,22:02:53
0,1,N-Acetyl-D-Glucosamine,E2,0.054,18,14/06/2012,22:02:53
0,1,_-Hydroxybutyric Acid,E3,0.041,19,14/06/2012,22:02:53
0,1,L-Threonine,E4,0.04,20,14/06/2012,22:02:53
0,1,Glycogen,F1,0.044,21,14/06/2012,22:02:53
0,1,D-Glucosaminic Acid,F2,0.079,22,14/06/2012,22:02:53
0,1,Itaconic Acid,F3,0.128,23,14/06/2012,22:02:53
0,1,Glycyl-L-Glutamic Acid,F4,0.039,24,14/06/2012,22:02:53
0,1,D-Cellobiose,G1,0.053,25,14/06/2012,22:02:53
0,1,Glucose-1-Phosphate,G2,0.042,26,14/06/2012,22:02:53
0,1,_-Ketobutyric Acid,G3,0.045,27,14/06/2012,22:02:53
0,1,Phenylethyl-amine,G4,0.041,28,14/06/2012,22:02:53
0,1,_-D-Lactose,H1,0.125,29,14/06/2012,22:02:53
0,1,D L-_-Glycerol Phosphate,H2,0.053,30,14/06/2012,22:02:53
0,1,D-Malic Acid,H3,0.039,31,14/06/2012,22:02:53
0,1,Putrescine,H4,0.04,32,14/06/2012,22:02:53
0,1,Water,A1,0.05,33,14/06/2012,22:02:53
0,1,_-Methyl-D-Glucoside,A2,0.042,34,14/06/2012,22:02:53
0,1,D-Galactonic Acid _-Lactone,A3,0.039,35,14/06/2012,22:02:53
0,1,L-Arginine,A4,0.106,36,14/06/2012,22:02:53
0,1,Pyruvic Acid Methyl Ester,B1,0.054,37,14/06/2012,22:02:53
0,1,D-Xylose,B2,0.04,38,14/06/2012,22:02:53
0,1,D-Galacturonic Acid,B3,0.041,39,14/06/2012,22:02:53
0,1,L-Asparagine,B4,0.039,40,14/06/2012,22:02:53
0,1,Tween 40,C1,0.054,41,14/06/2012,22:02:53
0,1,i-Erythritol,C2,0.039,42,14/06/2012,22:02:53
