EcologExpTime,PlateCode,C -Source,Well,OD,WellNr,Date,Time
0,1,Water,A1,0.04,1,12/07/2012,18:09:56
0,1,_-Methyl-D-Glucoside,A2,0.04,2,12/07/2012,18:09:56
0,1,D-Galactonic Acid _-Lactone,A3,0.102,3,12/07/2012,18:09:56
0,1,L-Arginine,A4,0.043,4,12/07/2012,18:09:56
0,1,Pyruvic Acid Methyl Ester,B1,0.042,5,12/07/2012,18:09:56
0,1,D-Xylose,B2,0.04,6,12/07/2012,18:09:56
0,1,D-Galacturonic Acid,B3,0.04,7,12/07/2012,18:09:56
0,1,L-Asparagine,B4,0.082,8,12/07/2012,18:09:56
0,1,Tween 40,C1,0.038,9,12/07/2012,18:09:56
0,1,i-Erythritol,C2,0.04,10,12/07/2012,18:09:56
0,1,2-Hydroxy Benzoic Acid,C3,0.038,11,12/07/2012,18:09:56
0,1,L-Phenylalanine,C4,0.048,12,12/07/2012,18:09:56
0,1,Tween 80,D1,0.043,13,12/07/2012,18:09:56
0,1,D-Mannitol,D2,0.062,14,12/07/2012,18:09:56
0,1,4-Hydroxy Benzoic Acid,D3,0.043,15,12/07/2012,18:09:56
0,1,L-Serine,D4,0.043,16,12/07/2012,18:09:56
0,1,_-Cyclodextrin,E1,0.045,17,12/07/2012,18:09:56
0,1,N-Acetyl-D-Glucosamine,E2,0.062,18,12/07/2012,18:09:56
0,1,_-Hydroxybutyric Acid,E3,0.043,19,12/07/2012,18:09:56
0,1,L-Threonine,E4,0.04,20,12/07/2012,18:09:56
0,1,Glycogen,F1,0.043,21,12/07/2012,18:09:56
0,1,D-Glucosaminic Acid,F2,0.106,22,12/07/2012,18:09:56
0,1,Itaconic Acid,F3,0.144,23,12/07/2012,18:09:56
0,1,Glycyl-L-Glutamic Acid,F4,0.043,24,12/07/2012,18:09:56
0,1,D-Cellobiose,G1,0.069,25,12/07/2012,18:09:56
0,1,Glucose-1-Phosphate,G2,0.041,26,12/07/2012,18:09:56
0,1,_-Ketobutyric Acid,G3,0.159,27,12/07/2012,18:09:56
0,1,Phenylethyl-amine,G4,0.044,28,12/07/2012,18:09:56
0,1,_-D-Lactose,H1,0.067,29,12/07/2012,18:09:56
0,1,D L-_-Glycerol Phosphate,H2,0.046,30,12/07/2012,18:09:56
0,1,D-Malic Acid,H3,0.096,31,12/07/2012,18:09:56
0,1,Putrescine,H4,0.04,32,12/07/2012,18:09:56
0,1,Water,A1,0.157,33,12/07/2012,18:09:56
0,1,_-Methyl-D-Glucoside,A2,0.039,34,12/07/2012,18:09:56
0,1,D-Galactonic Acid _-Lactone,A3,0.074,35,12/07/2012,18:09:56
0,1,L-Arginine,A4,0.14,36,12/07/2012,18:09:56
0,1,Pyruvic Acid Methyl Ester,B1,0.052,37,12/07/2012,18:09:56
0,1,D-Xylose,B2,0.042,38,12/07/2012,18:09:56
0,1,D-Galacturonic Acid,B3,0.041,39,12/07/2012,18:09:56
0,1,L-Asparagine,B4,0.04,40,12/07/2012,18:09:56
0,1,Tween 40,C1,0.079,41,12/07/2012,18:09:56
0,1,i-Erythritol,C2,0.04,42,12/07/2012,18:09:56
0,1,2-Hydroxy Benzoic Acid,C3,0.082,43,12/07/2012,18:09:56
0,1,L-Phenylalanine,C4,0.039,44,12/07/2012,18:09:56
0,1,Tween 80,D1,0.198,45,12/07/2012,18:09:56
0,1,D-Mannitol,D2,0.044,46,12/07/2012,18:09:56
0,1,4-Hydroxy Benzoic Acid,D3,0.081,47,12/07/2012,18:09:56
0,1,L-Serine,D4,0.04,48,12/07/2012,18:09:56
0,1,_-Cyclodextrin,E1,0.05,49,12/07/2012,18:09:56
0,1,N-Acetyl-D-Glucosamine,E2,0.042,50,12/07/2012,18:09:56
0,1,_-Hydroxybutyric Acid,E3,0.048,51,12/07/2012,18:09:56
0,1,L-Threonine,E4,0.04,52,12/07/2012,18:09:56
0,1,Glycogen,F1,0.049,53,12/07/2012,18:09:56
0,1,D-Glucosaminic Acid,F2,0.04,54,12/07/2012,18:09:56
0,1,Itaconic Acid,F3,0.044,55,12/07/2012,18:09:56
0,1,Glycyl-L-Glutamic Acid,F4,0.04,56,12/07/2012,18:09:56
0,1,D-Cellobiose,G1,0.048,57,12/07/2012,18:09:56
0,1,Glucose-1-Phosphate,G2,0.101,58,12/07/2012,18:09:56
0,1,_-Ketobutyric Acid,G3,0.076,59,12/07/2012,18:09:56
0,1,Phenylethyl-amine,G4,0.114,60,12/07/2012,18:09:56
0,1,_-D-Lactose,H1,0.047,61,12/07/2012,18:09:56
0,1,D L-_-Glycerol Phosphate,H2,0.043,62,12/07/2012,18:09:56
0,1,D-Malic Acid,H3,0.04,63,12/07/2012,18:09:56
0,1,Putrescine,H4,0.04,64,12/07/2012,18:09:56
0,1,Water,A1,0.048,65,12/07/2012,18:09:56
0,1,_-Methyl-D-Glucoside,A2,0.04,66,12/07/2012,18:09:56
0,1,D-Galactonic Acid _-Lactone,A3,0.04,67,12/07/2012,18:09:56
0,1,L-Arginine,A4,0.042,68,12/07/2012,18:09:56
0,1,Pyruvic Acid Methyl Ester,B1,0.048,69,12/07/2012,18:09:56
0,1,D-Xylose,B2,0.084,70,12/07/2012,18:09:56
0,1,D-Galacturonic Acid,B3,0.04,71,12/07/2012,18:09:56
0,1,L-Asparagine,B4,0.045,72,12/07/2012,18:09:56
0,1,Tween 40,C1,0.04,73,12/07/2012,18:09:56
0,1,i-Erythritol,C2,0.04,74,12/07/2012,18:09:56
0,1,2-Hydroxy Benzoic Acid,C3,0.042,75,12/07/2012,18:09:56
0,1,L-Phenylalanine,C4,0.04,76,12/07/2012,18:09:56
0,1,Tween 80,D1,0.04,77,12/07/2012,18:09:56
0,1,D-Mannitol,D2,0.055,78,12/07/2012,18:09:56
0,1,4-Hydroxy Benzoic Acid,D3,0.042,79,12/07/2012,18:09:56
0,1,L-Serine,D4,0.04,80,12/07/2012,18:09:56
0,1,_-Cyclodextrin,E1,0.041,81,12/07/2012,18:09:56
0,1,N-Acetyl-D-Glucosamine,E2,0.043,82,12/07/2012,18:09:56
0,1,_-Hydroxybutyric Acid,E3,0.043,83,12/07/2012,18:09:56
0,1,L-Threonine,E4,0.041,84,12/07/2012,18:09:56
0,1,Glycogen,F1,0.043,85,12/07/2012,18:09:56
0,1,D-Glucosaminic Acid,F2,0.04,86,12/07/2012,18:09:56
0,1,Itaconic Acid,F3,0.04,87,12/07/2012,18:09:56
0,1,Glycyl-L-Glutamic Acid,F4,0.039,88,12/07/2012,18:09:56
0,1,D-Cellobiose,G1,0.039,89,12/07/2012,18:09:56
0,1,Glucose-1-Phosphate,G2,0.039,90,12/07/2012,18:09:56
0,1,_-Ketobutyric Acid,G3,0.06,91,12/07/2012,18:09:56
0,1,Phenylethyl-amine,G4,0.039,92,12/07/2012,18:09:56
0,1,_-D-Lactose,H1,0.039,93,12/07/2012,18:09:56
0,1,D L-_-Glycerol Phosphate,H2,0.096,94,12/07/2012,18:09:56
0,1,D-Malic Acid,H3,0.039,95,12/07/2012,18:09:56
0,1,Putrescine,H4,0.039,96,12/07/2012,18:09:56
12,1,Water,A1,0.041,1,13/07/2012,09:38:24
12,1,_-Methyl-D-Glucoside,A2,0.04,2,13/07/2012,09:38:24
12,1,D-Galactonic Acid _-Lactone,A3,0.082,3,13/07/2012,09:38:24
12,1,L-Arginine,A4,0.043,4,13/07/2012,09:38:24
12,1,Pyruvic Acid Methyl Ester,B1,0.043,5,13/07/2012,09:38:24
12,1,D-Xylose,B2,0.04,6,13/07/2012,09:38:24
12,1,D-Galacturonic Acid,B3,0.041,7,13/07/2012,09:38:24
12,1,L-Asparagine,B4,0.065,8,13/07/2012,09:38:24
12,1,Tween 40,C1,0.039,9,13/07/2012,09:38:24
12,1,i-Erythritol,C2,0.041,10,13/07/2012,09:38:24
12,1,2-Hydroxy Benzoic Acid,C3,0.04,11,13/07/2012,09:38:24
12,1,L-Phenylalanine,C4,0.044,12,13/07/2012,09:38:24
12,1,Tween 80,D1,0.043,13,13/07/2012,09:38:24
12,1,D-Mannitol,D2,0.061,14,13/07/2012,09:38:24
12,1,4-Hydroxy Benzoic Acid,D3,0.043,15,13/07/2012,09:38:24
12,1,L-Serine,D4,0.043,16,13/07/2012,09:38:24
12,1,_-Cyclodextrin,E1,0.045,17,13/07/2012,09:38:24
12,1,N-Acetyl-D-Glucosamine,E2,0.061,18,13/07/2012,09:38:24
12,1,_-Hydroxybutyric Acid,E3,0.043,19,13/07/2012,09:38:24
12,1,L-Threonine,E4,0.041,20,13/07/2012,09:38:24
12,1,Glycogen,F1,0.043,21,13/07/2012,09:38:24
12,1,D-Glucosaminic Acid,F2,0.075,22,13/07/2012,09:38:24
12,1,Itaconic Acid,F3,0.108,23,13/07/2012,09:38:24
12,1,Glycyl-L-Glutamic Acid,F4,0.045,24,13/07/2012,09:38:24
12,1,D-Cellobiose,G1,0.185,25,13/07/2012,09:38:24
12,1,Glucose-1-Phosphate,G2,0.041,26,13/07/2012,09:38:24
12,1,_-Ketobutyric Acid,G3,0.083,27,13/07/2012,09:38:24
12,1,Phenylethyl-amine,G4,0.044,28,13/07/2012,09:38:24
12,1,_-D-Lactose,H1,0.07,29,13/07/2012,09:38:24
12,1,D L-_-Glycerol Phosphate,H2,0.046,30,13/07/2012,09:38:24
