"Sampling"	"BOT"	"Lake"	"DIL"	"FuncDiv"
"1"	"12.07"	1	"Lake 4"	"0"	9.07242693076852
"2"	"12.07"	2	"Lake 4"	"01"	16.5539724330862
"3"	"12.07"	3	"Lake 4"	"02"	13.8704271037071
"4"	"12.07"	4	"Lake 4"	"03"	9.15695891817022
"5"	"12.07"	5	"Lake 4"	"04"	15.3615801722071
"6"	"12.07"	6	"Lake 4"	"05"	16.4628910770771
"7"	"12.07"	7	"Lake 4"	"06"	9.03508960720558
"8"	"12.07"	8	"Lake 4"	"07"	6.35253161958928
"9"	"12.07"	9	"Lake 4"	"08"	14.4281045032645
"10"	"12.07"	10	"Lake 4"	"09"	11.4702766665321
"11"	"12.07"	11	"Lake 4"	"10"	14.6901477361889
"12"	"12.07"	12	"Lake 4"	"S"	16.2212166694121
"13"	"12.07"	13	"Lake 2"	"0"	8.11609868701265
"14"	"12.07"	14	"Lake 2"	"01"	10.1924285871246
"15"	"12.07"	15	"Lake 2"	"02"	13.2653246237089
"16"	"12.07"	16	"Lake 2"	"03"	12.6078690550111
"17"	"12.07"	17	"Lake 2"	"04"	11.3375303344244
"18"	"12.07"	18	"Lake 2"	"05"	15.0920775511161
"19"	"12.07"	19	"Lake 2"	"06"	13.5247362790462
"20"	"12.07"	20	"Lake 2"	"07"	9.09121324017674
"21"	"12.07"	21	"Lake 2"	"08"	13.7296211765477
"22"	"12.07"	22	"Lake 2"	"09"	13.2994192827687
"23"	"12.07"	23	"Lake 2"	"10"	17.2093207032105
"24"	"12.07"	24	"Lake 2"	"S"	16.9728713497703
"25"	"12.07"	25	"Lake 3"	"0"	15.0178868990005
"26"	"12.07"	26	"Lake 3"	"01"	16.2993051034091
"27"	"12.07"	27	"Lake 3"	"02"	10.033193898789
"28"	"12.07"	28	"Lake 3"	"03"	15.1876804938902
"29"	"12.07"	29	"Lake 3"	"04"	17.955485690935
"30"	"12.07"	30	"Lake 3"	"05"	16.5519493965948
"31"	"12.07"	31	"Lake 3"	"06"	17.7392680741082
"32"	"12.07"	32	"Lake 3"	"07"	18.7069604453607
"33"	"12.07"	33	"Lake 3"	"08"	18.4376686915702
"34"	"12.07"	34	"Lake 3"	"09"	18.8914295717634
"35"	"12.07"	35	"Lake 3"	"10"	18.2338737050894
"36"	"12.07"	36	"Lake 3"	"S"	19.1932023795188
"37"	"12.07"	37	"Lake 1"	"0"	16.0443080074358
"38"	"12.07"	38	"Lake 1"	"01"	15.3886084404606
"39"	"12.07"	39	"Lake 1"	"02"	16.6255454294325
"40"	"12.07"	40	"Lake 1"	"03"	13.1401636173481
"41"	"12.07"	41	"Lake 1"	"04"	15.3936160445423
"42"	"12.07"	42	"Lake 1"	"05"	15.5313908205199
"43"	"12.07"	43	"Lake 1"	"06"	13.879793490365
"44"	"12.07"	44	"Lake 1"	"07"	15.1445359262518
"45"	"12.07"	45	"Lake 1"	"08"	14.4504265097319
"46"	"12.07"	46	"Lake 1"	"09"	18.8857868920298
"47"	"12.07"	47	"Lake 1"	"10"	16.2320500328727
"48"	"12.07"	48	"Lake 1"	"S"	15.6081976789245
"49"	"14.06"	1	"Lake 4"	"0"	1
"50"	"14.06"	2	"Lake 4"	"01"	15.7948679389815
"51"	"14.06"	3	"Lake 4"	"02"	1.77724073772168
"52"	"14.06"	4	"Lake 4"	"03"	1
"53"	"14.06"	5	"Lake 4"	"04"	1
"54"	"14.06"	6	"Lake 4"	"05"	4.00569252582409
"55"	"14.06"	7	"Lake 4"	"06"	3.78571680069019
"56"	"14.06"	8	"Lake 4"	"07"	8.79428144007891
"57"	"14.06"	9	"Lake 4"	"08"	11.12685836936
"58"	"14.06"	10	"Lake 4"	"09"	4.73012330022892
"59"	"14.06"	11	"Lake 4"	"10"	8.65774288122655
"60"	"14.06"	12	"Lake 4"	"S"	7.07095258405774
"61"	"14.06"	13	"Lake 2"	"0"	1
"62"	"14.06"	14	"Lake 2"	"01"	11.1731958574871
"63"	"14.06"	15	"Lake 2"	"02"	10.7153624323354
"64"	"14.06"	16	"Lake 2"	"03"	10.2649131721611
"65"	"14.06"	17	"Lake 2"	"04"	1
"66"	"14.06"	18	"Lake 2"	"05"	2.95056099901278
"67"	"14.06"	19	"Lake 2"	"06"	1
"68"	"14.06"	20	"Lake 2"	"07"	1
"69"	"14.06"	21	"Lake 2"	"08"	1.72229898183293
"70"	"14.06"	22	"Lake 2"	"09"	6.198739973358
"71"	"14.06"	23	"Lake 2"	"10"	7.55015655628749
"72"	"14.06"	24	"Lake 2"	"S"	12.7556385831723
"73"	"14.06"	25	"Lake 3"	"0"	15.9590432579341
"74"	"14.06"	26	"Lake 3"	"01"	14.4909002584474
"75"	"14.06"	27	"Lake 3"	"02"	1
"76"	"14.06"	28	"Lake 3"	"03"	1
"77"	"14.06"	29	"Lake 3"	"04"	1
"78"	"14.06"	30	"Lake 3"	"05"	10.7904933984655
"79"	"14.06"	31	"Lake 3"	"06"	8.06212797299088
"80"	"14.06"	32	"Lake 3"	"07"	16.6150252203268
"81"	"14.06"	33	"Lake 3"	"08"	9.63272808026117
"82"	"14.06"	34	"Lake 3"	"09"	12.4485098923397
"83"	"14.06"	35	"Lake 3"	"10"	7.0760655902547
"84"	"14.06"	36	"Lake 3"	"S"	16.9288677039987
