File Name	Sample ID	Acquisition Date	Gated Events	Total Events	X Parameter	Y Parameter	Label	Events	% Gated	% Total	
01_02/06 0102.001	02/06 01	17-Sep-12	43170	43170	SSC-H (Log)	FL1-H (Log)	G1	2097	4.86	4.86	
01_02/06 0102.001	02/06 01	17-Sep-12	43170	43170	SSC-H (Log)	FL1-H (Log)	G2	31559	73.10	73.10	
02_04/06 0151.001	04/06 01	17-Sep-12	48510	48510	SSC-H (Log)	FL1-H (Log)	G1	2700	5.57	5.57	
02_04/06 0151.001	04/06 01	17-Sep-12	48510	48510	SSC-H (Log)	FL1-H (Log)	G2	36066	74.35	74.35	
03_06/06 0102.001	06/06 01	17-Sep-12	50880	50880	SSC-H (Log)	FL1-H (Log)	G1	3002	5.90	5.90	
03_06/06 0102.001	06/06 01	17-Sep-12	50880	50880	SSC-H (Log)	FL1-H (Log)	G2	34640	68.08	68.08	
04_08/06 0102.001	08/06 01	18-Sep-12	48975	48975	SSC-H (Log)	FL1-H (Log)	G1	2636	5.38	5.38	
04_08/06 0102.001	08/06 01	18-Sep-12	48975	48975	SSC-H (Log)	FL1-H (Log)	G2	37037	75.62	75.62	
05_10/06 0125.001	10/06 24	18-Sep-12	46185	46185	SSC-H (Log)	FL1-H (Log)	G1	2849	6.17	6.17	
05_10/06 0125.001	10/06 24	18-Sep-12	46185	46185	SSC-H (Log)	FL1-H (Log)	G2	35388	76.62	76.62	
06_12/06 0151.001	12/06 01	18-Sep-12	50730	50730	SSC-H (Log)	FL1-H (Log)	G1	3047	6.01	6.01	
06_12/06 0151.001	12/06 01	18-Sep-12	50730	50730	SSC-H (Log)	FL1-H (Log)	G2	39482	77.83	77.83	
07_14/06 0102.001	14/06 01	11-Sep-12	52305	52305	SSC-H (Log)	FL1-H (Log)	G1	1887	3.61	3.61	
07_14/06 0102.001	14/06 01	11-Sep-12	52305	52305	SSC-H (Log)	FL1-H (Log)	G2	39186	74.92	74.92	
08_16/06 0101.001	lowFlow  16/06 01	10-Sep-12	45030	45030	SSC-H (Log)	FL1-H (Log)	G1	2017	4.48	4.48	
08_16/06 0101.001	lowFlow  16/06 01	10-Sep-12	45030	45030	SSC-H (Log)	FL1-H (Log)	G2	38505	85.51	85.51	
09_18/06 0101.001	18/06 01	11-Sep-12	51375	51375	SSC-H (Log)	FL1-H (Log)	G1	2321	4.52	4.52	
09_18/06 0101.001	18/06 01	11-Sep-12	51375	51375	SSC-H (Log)	FL1-H (Log)	G2	41782	81.33	81.33	
10_20/06 0150.001	20/06 01	11-Sep-12	45585	45585	SSC-H (Log)	FL1-H (Log)	G1	2454	5.38	5.38	
10_20/06 0150.001	20/06 01	11-Sep-12	45585	45585	SSC-H (Log)	FL1-H (Log)	G2	36339	79.72	79.72	
11_22/06 0101.001	22/06 01	11-Sep-12	50310	50310	SSC-H (Log)	FL1-H (Log)	G1	2391	4.75	4.75	
11_22/06 0101.001	22/06 01	11-Sep-12	50310	50310	SSC-H (Log)	FL1-H (Log)	G2	39024	77.57	77.57	
12_24/06 0150.001	24/06 01	11-Sep-12	54525	54525	SSC-H (Log)	FL1-H (Log)	G1	2444	4.48	4.48	
12_24/06 0150.001	24/06 01	11-Sep-12	54525	54525	SSC-H (Log)	FL1-H (Log)	G2	42221	77.43	77.43	
13_26/06 0102.001	26/06 01	12-Sep-12	39780	39780	SSC-H (Log)	FL1-H (Log)	G1	2074	5.21	5.21	
13_26/06 0102.001	26/06 01	12-Sep-12	39780	39780	SSC-H (Log)	FL1-H (Log)	G2	30936	77.77	77.77	
14_28/06 0151.001	28/06 01	12-Sep-12	52260	52260	SSC-H (Log)	FL1-H (Log)	G1	2258	4.32	4.32	
14_28/06 0151.001	28/06 01	12-Sep-12	52260	52260	SSC-H (Log)	FL1-H (Log)	G2	39141	74.90	74.90	
15_30/06 0102.001	30/06 01	12-Sep-12	56190	56190	SSC-H (Log)	FL1-H (Log)	G1	2588	4.61	4.61	
