"FileN"	"ctim"
"1"	"01_02/06 0102.001"	"2012-09-17 16:01:34"
"2"	"01_02/06 0203.001"	"2012-09-17 16:02:48"
"3"	"01_02/06 0304.001"	"2012-09-17 16:04:06"
"4"	"01_02/06 0405.001"	"2012-09-17 16:05:22"
"5"	"01_02/06 0506.001"	"2012-09-17 16:06:40"
"6"	"01_02/06 0607.001"	"2012-09-17 16:07:56"
"7"	"01_02/06 0708.001"	"2012-09-17 16:09:12"
"8"	"01_02/06 0809.001"	"2012-09-17 16:10:30"
"9"	"01_02/06 0910.001"	"2012-09-17 16:11:46"
"10"	"01_02/06 1011.001"	"2012-09-17 16:13:04"
"11"	"01_02/06 1112.001"	"2012-09-17 16:14:20"
"12"	"01_02/06 1213.001"	"2012-09-17 16:15:36"
"13"	"01_02/06 1314.001"	"2012-09-17 16:16:52"
"14"	"01_02/06 1415.001"	"2012-09-17 16:18:08"
"15"	"01_02/06 1516.001"	"2012-09-17 16:19:24"
"16"	"01_02/06 1617.001"	"2012-09-17 16:20:40"
"17"	"01_02/06 1718.001"	"2012-09-17 16:21:58"
"18"	"01_02/06 1819.001"	"2012-09-17 16:23:14"
"19"	"01_02/06 1920.001"	"2012-09-17 16:24:32"
"20"	"01_02/06 2021.001"	"2012-09-17 16:25:48"
"21"	"01_02/06 2122.001"	"2012-09-17 16:27:04"
"22"	"01_02/06 2223.001"	"2012-09-17 16:28:22"
"23"	"01_02/06 2324.001"	"2012-09-17 16:29:38"
"24"	"01_02/06 2425.001"	"2012-09-17 16:30:54"
"25"	"01_02/06 2526.001"	"2012-09-17 16:32:48"
"26"	"01_02/06 2627.001"	"2012-09-17 16:34:04"
"27"	"01_02/06 2728.001"	"2012-09-17 16:35:20"
"28"	"01_02/06 2829.001"	"2012-09-17 16:36:36"
"29"	"01_02/06 2930.001"	"2012-09-17 16:37:52"
"30"	"01_02/06 3031.001"	"2012-09-17 16:39:10"
"31"	"01_02/06 3132.001"	"2012-09-17 16:40:26"
"32"	"01_02/06 3233.001"	"2012-09-17 16:41:42"
"33"	"01_02/06 3334.001"	"2012-09-17 16:43:00"
"34"	"01_02/06 3435.001"	"2012-09-17 16:44:16"
"35"	"01_02/06 3536.001"	"2012-09-17 16:45:34"
"36"	"01_02/06 3637.001"	"2012-09-17 16:46:50"
"37"	"01_02/06 3738.001"	"2012-09-17 16:48:06"
"38"	"01_02/06 3839.001"	"2012-09-17 16:49:20"
"39"	"01_02/06 3940.001"	"2012-09-17 16:50:36"
"40"	"01_02/06 4041.001"	"2012-09-17 16:51:52"
"41"	"01_02/06 4142.001"	"2012-09-17 16:53:10"
"42"	"01_02/06 4243.001"	"2012-09-17 16:54:26"
"43"	"01_02/06 4344.001"	"2012-09-17 16:55:44"
"44"	"01_02/06 4445.001"	"2012-09-17 16:57:00"
"45"	"01_02/06 4546.001"	"2012-09-17 16:58:16"
"46"	"01_02/06 4647.001"	"2012-09-17 16:59:32"
"47"	"01_02/06 4748.001"	"2012-09-17 17:00:50"
"48"	"01_02/06 4849.001"	"2012-09-17 17:02:06"
"49"	"02_04/06 0151.001"	"2012-09-17 17:05:44"
"50"	"02_04/06 0252.001"	"2012-09-17 17:07:00"
"51"	"02_04/06 0353.001"	"2012-09-17 17:08:16"
"52"	"02_04/06 0454.001"	"2012-09-17 17:09:32"
"53"	"02_04/06 0555.001"	"2012-09-17 17:10:48"
"54"	"02_04/06 0656.001"	"2012-09-17 17:12:04"
"55"	"02_04/06 0757.001"	"2012-09-17 17:13:22"
"56"	"02_04/06 0858.001"	"2012-09-17 17:14:38"
"57"	"02_04/06 0959.001"	"2012-09-17 17:15:54"
"58"	"02_04/06 1060.001"	"2012-09-17 17:17:12"
"59"	"02_04/06 1161.001"	"2012-09-17 17:18:28"
"60"	"02_04/06 1262.001"	"2012-09-17 17:19:44"
"61"	"02_04/06 1363.001"	"2012-09-17 17:21:00"
"62"	"02_04/06 1464.001"	"2012-09-17 17:22:16"
"63"	"02_04/06 1565.001"	"2012-09-17 17:23:32"
"64"	"02_04/06 1666.001"	"2012-09-17 17:24:46"
"65"	"02_04/06 1767.001"	"2012-09-17 17:26:02"
"66"	"02_04/06 1868.001"	"2012-09-17 17:27:18"
"67"	"02_04/06 1969.001"	"2012-09-17 17:28:34"
"68"	"02_04/06 2070.001"	"2012-09-17 17:29:50"
"69"	"02_04/06 2171.001"	"2012-09-17 17:31:06"
"70"	"02_04/06 2272.001"	"2012-09-17 17:32:24"
"71"	"02_04/06 2373.001"	"2012-09-17 17:33:40"
"72"	"02_04/06 2474.001"	"2012-09-17 17:34:56"
"73"	"02_04/06 2575.001"	"2012-09-17 17:39:30"
"74"	"02_04/06 2676.001"	"2012-09-17 17:40:46"
"75"	"02_04/06 2777.001"	"2012-09-17 17:42:02"
"76"	"02_04/06 2878.001"	"2012-09-17 17:43:18"
"77"	"02_04/06 2979.001"	"2012-09-17 17:44:34"
"78"	"02_04/06 3080.001"	"2012-09-17 17:45:50"
"79"	"02_04/06 3181.001"	"2012-09-17 17:47:08"
"80"	"02_04/06 3282.001"	"2012-09-17 17:48:24"
"81"	"02_04/06 3383.001"	"2012-09-17 17:49:40"
"82"	"02_04/06 3484.001"	"2012-09-17 17:50:58"
"83"	"02_04/06 3585.001"	"2012-09-17 17:52:14"
"84"	"02_04/06 3686.001"	"2012-09-17 17:53:30"
"85"	"02_04/06 3787.001"	"2012-09-17 17:54:46"
"86"	"02_04/06 3888.001"	"2012-09-17 17:56:02"
"87"	"02_04/06 3989.001"	"2012-09-17 17:57:18"
"88"	"02_04/06 4090.001"	"2012-09-17 17:58:32"
"89"	"02_04/06 4191.001"	"2012-09-17 17:59:48"
"90"	"02_04/06 4292.001"	"2012-09-17 18:01:04"
"91"	"02_04/06 4393.001"	"2012-09-17 18:02:20"
"92"	"02_04/06 4494.001"	"2012-09-17 18:03:38"
"93"	"02_04/06 4595.001"	"2012-09-17 18:04:54"
"94"	"02_04/06 4696.001"	"2012-09-17 18:06:10"
"95"	"02_04/06 4797.001"	"2012-09-17 18:07:28"
"96"	"02_04/06 4898.001"	"2012-09-17 18:15:00"
"97"	"03_06/06 0102.001"	"2012-09-17 19:22:18"
"98"	"03_06/06 0203.001"	"2012-09-17 19:02:52"
"99"	"03_06/06 0304.001"	"2012-09-17 19:24:48"
"100"	"03_06/06 0405.001"	"2012-09-17 19:26:04"
"101"	"03_06/06 0506.001"	"2012-09-17 19:27:20"
"102"	"03_06/06 0607.001"	"2012-09-17 19:28:36"
"103"	"03_06/06 0708.001"	"2012-09-17 19:29:52"
"104"	"03_06/06 0809.001"	"2012-09-17 19:31:10"
"105"	"03_06/06 0910.001"	"2012-09-17 19:32:26"
"106"	"03_06/06 1011.001"	"2012-09-17 19:33:42"
"107"	"03_06/06 1112.001"	"2012-09-17 19:34:58"
"108"	"03_06/06 1213.001"	"2012-09-17 19:36:16"
"109"	"03_06/06 1314.001"	"2012-09-17 19:37:32"
"110"	"03_06/06 1415.001"	"2012-09-17 19:38:48"
"111"	"03_06/06 1516.001"	"2012-09-17 19:40:02"
"112"	"03_06/06 1617.001"	"2012-09-17 19:41:18"
"113"	"03_06/06 1718.001"	"2012-09-17 19:42:34"
"114"	"03_06/06 1819.001"	"2012-09-17 19:43:50"
"115"	"03_06/06 1920.001"	"2012-09-17 19:45:06"
"116"	"03_06/06 2021.001"	"2012-09-17 19:46:22"
"117"	"03_06/06 2122.001"	"2012-09-17 19:47:38"
"118"	"03_06/06 2223.001"	"2012-09-17 19:48:54"
"119"	"03_06/06 2324.001"	"2012-09-17 19:50:10"
"120"	"03_06/06 2425.001"	"2012-09-17 19:51:28"
"121"	"03_06/06 2526.001"	"2012-09-17 19:53:54"
"122"	"03_06/06 2627.001"	"2012-09-17 19:55:10"
"123"	"03_06/06 2728.001"	"2012-09-17 19:56:24"
"124"	"03_06/06 2829.001"	"2012-09-17 19:57:40"
"125"	"03_06/06 2930.001"	"2012-09-17 19:58:56"
"126"	"03_06/06 3031.001"	"2012-09-17 20:00:12"
"127"	"03_06/06 3132.001"	"2012-09-17 20:01:28"
"128"	"03_06/06 3233.001"	"2012-09-17 20:02:44"
"129"	"03_06/06 3334.001"	"2012-09-17 20:04:02"
"130"	"03_06/06 3435.001"	"2012-09-17 20:05:18"
"131"	"03_06/06 3536.001"	"2012-09-17 20:06:34"
"132"	"03_06/06 3637.001"	"2012-09-17 20:07:52"
"133"	"03_06/06 3738.001"	"2012-09-17 20:09:06"
"134"	"03_06/06 3839.001"	"2012-09-17 20:10:22"
"135"	"03_06/06 3940.001"	"2012-09-17 20:11:38"
"136"	"03_06/06 4041.001"	"2012-09-17 20:12:54"
"137"	"03_06/06 4142.001"	"2012-09-17 20:14:10"
"138"	"03_06/06 4243.001"	"2012-09-17 20:15:24"
"139"	"03_06/06 4344.001"	"2012-09-17 20:16:40"
"140"	"03_06/06 4445.001"	"2012-09-17 20:17:56"
"141"	"03_06/06 4546.001"	"2012-09-17 20:19:12"
"142"	"03_06/06 4647.001"	"2012-09-17 20:20:30"
"143"	"03_06/06 4748.001"	"2012-09-17 20:21:46"
"144"	"03_06/06 4849.001"	"2012-09-17 20:23:02"
"145"	"04_08/06 0102.001"	"2012-09-18 10:18:46"
"146"	"04_08/06 0203.001"	"2012-09-18 10:20:02"
"147"	"04_08/06 0304.001"	"2012-09-18 10:21:18"
"148"	"04_08/06 0405.001"	"2012-09-18 10:22:34"
"149"	"04_08/06 0506.001"	"2012-09-18 10:23:48"
"150"	"04_08/06 0607.001"	"2012-09-18 10:25:04"
"151"	"04_08/06 0708.001"	"2012-09-18 10:26:20"
"152"	"04_08/06 0809.001"	"2012-09-18 10:27:38"
"153"	"04_08/06 0910.001"	"2012-09-18 10:28:54"
"154"	"04_08/06 1011.001"	"2012-09-18 10:30:10"
"155"	"04_08/06 1112.001"	"2012-09-18 10:31:26"
"156"	"04_08/06 1213.001"	"2012-09-18 10:32:44"
"157"	"04_08/06 1314.001"	"2012-09-18 10:34:00"
"158"	"04_08/06 1415.001"	"2012-09-18 10:35:14"
"159"	"04_08/06 1516.001"	"2012-09-18 10:36:30"
"160"	"04_08/06 1617.001"	"2012-09-18 10:37:46"
"161"	"04_08/06 1718.001"	"2012-09-18 10:39:02"
"162"	"04_08/06 1819.001"	"2012-09-18 10:40:18"
"163"	"04_08/06 1920.001"	"2012-09-18 10:41:34"
"164"	"04_08/06 2021.001"	"2012-09-18 10:42:48"
"165"	"04_08/06 2122.001"	"2012-09-18 10:44:04"
"166"	"04_08/06 2223.001"	"2012-09-18 10:45:20"
"167"	"04_08/06 2324.001"	"2012-09-18 10:46:36"
"168"	"04_08/06 2425.001"	"2012-09-18 10:47:54"
"169"	"04_08/06 2526.001"	"2012-09-18 10:49:52"
"170"	"04_08/06 2627.001"	"2012-09-18 10:51:08"
"171"	"04_08/06 2728.001"	"2012-09-18 10:52:24"
"172"	"04_08/06 2829.001"	"2012-09-18 10:53:40"
"173"	"04_08/06 2930.001"	"2012-09-18 10:54:56"
"174"	"04_08/06 3031.001"	"2012-09-18 10:56:12"
"175"	"04_08/06 3132.001"	"2012-09-18 10:57:28"
"176"	"04_08/06 3233.001"	"2012-09-18 10:58:44"
"177"	"04_08/06 3334.001"	"2012-09-18 11:00:00"
"178"	"04_08/06 3435.001"	"2012-09-18 11:01:18"
"179"	"04_08/06 3536.001"	"2012-09-18 11:02:34"
"180"	"04_08/06 3637.001"	"2012-09-18 11:03:50"
