FileN1	ctim
02/06 True01.001	2012-09-17 16:00:18
04/06 True50.001	2012-09-17 17:04:28
06/06 True01.001	2012-09-17 18:55:44
08/06 True01.001	2012-09-18 10:17:30
10/06 True01.001	2012-09-18 11:39:46
12/06 True50.001	2012-09-18 12:43:24
14/06 True 101.001	2012-09-11 11:08:10
16/06 True225.001	2012-09-11 12:39:16
18/06 True25.001	2012-09-11 15:08:02
20/06 True74.001	2012-09-11 16:13:52
22/06 True25.001	2012-09-11 18:02:18
24/06 True74.001	2012-09-11 19:08:44
26/06 True01.001	2012-09-12 11:04:52
28/06 True50.001	2012-09-12 12:08:16
30/06 True 01.001	2012-09-12 14:42:50
02/07 True50.001	2012-09-12 15:48:44
07/04 True01.001	2012-09-12 17:43:30
07/06 True50.001	2012-09-12 18:47:06
08/07 True01.001	2012-09-14 10:20:52
10/07 True50.001	2012-09-14 11:24:18
12/07 True01.001	2012-09-13 13:39:38
