Date	Sample	TC.ID	Acq.Dat
06/02	1-48	02/06 True01.001	2012-09-17
06/04	1-48	04/06 True50.001	2012-09-17
06/06	1-48	06/06 True01.001	2012-09-17
06/08	1-48	08/06 True01.001	2012-09-17
06/10	1-48	10/06 True01.001	2012-09-18
06/12	1-48	12/06 True50.001	2012-09-18
06/14	1-48	14/06 True 101.001	2012-09-11
06/16	1-24	14/06 True 226.001	2012-09-10
06/16	25-48	14/06 True225.001	2012-09-11
06/18	1-24	14/06 True225.001	2012-09-11
06/18	25-48	18/06 True25.001	2012-09-11
06/20	1-24	18/06 True25.001	2012-09-11
06/20	25-48	20/06 True74.001	2012-09-11
06/22	1-24	20/06 True74.001	2012-09-11
06/22	25-48	22/06 True25.001	2012-09-11
06/24	1-24	22/06 True25.001	2012-09-11
06/24	25-48	24/06 True74.001	2012-09-11
06/26	1-48	26/06 True01.001	2012-09-12
06/28	1-48	28/06 True50.001	2012-09-12
06/30	1-48	30/06 True 01.001	2012-09-12
07/02	1-48	02/07 True50.001	2012-09-12
07/04	1-48	07/04 True01.001	2012-09-12
07/06	1-48	07/06 True50.001	2012-09-12
07/08	1-48	08/07 True01.001	2012-09-14
07/10	1-48	10/07 True50.001	2012-09-14
07/12	1-48	12/07 True01.001	2012-09-13	
