"gbgID"	"BOT"	"Lake"	"Sampling"	"DIL"
"1"	"gbg1"	1	"Surtesjön"	"14.06"	"0"
"2"	"gbg10"	10	"Surtesjön"	"14.06"	"09"
"3"	"gbg11"	11	"Surtesjön"	"14.06"	"10"
"4"	"gbg12"	12	"Surtesjön"	"14.06"	"S"
"5"	"gbg13"	13	"Delsjön"	"14.06"	"0"
"6"	"gbg14"	14	"Delsjön"	"14.06"	"01"
"7"	"gbg15"	15	"Delsjön"	"14.06"	"02"
"8"	"gbg16"	16	"Delsjön"	"14.06"	"03"
"9"	"gbg17"	17	"Delsjön"	"14.06"	"04"
"10"	"gbg18"	18	"Delsjön"	"14.06"	"05"
"11"	"gbg19"	19	"Delsjön"	"14.06"	"06"
"12"	"gbg2"	2	"Surtesjön"	"14.06"	"01"
"13"	"gbg20"	20	"Delsjön"	"14.06"	"07"
"14"	"gbg21"	21	"Delsjön"	"14.06"	"08"
"15"	"gbg22"	22	"Delsjön"	"14.06"	"09"
"16"	"gbg23"	23	"Delsjön"	"14.06"	"10"
"17"	"gbg24"	24	"Delsjön"	"14.06"	"S"
"18"	"gbg25"	25	"Lerum"	"14.06"	"0"
"19"	"gbg26"	26	"Lerum"	"14.06"	"01"
"20"	"gbg27"	27	"Lerum"	"14.06"	"02"
"21"	"gbg28"	28	"Lerum"	"14.06"	"03"
"22"	"gbg29"	29	"Lerum"	"14.06"	"04"
"23"	"gbg3"	3	"Surtesjön"	"14.06"	"02"
"24"	"gbg30"	30	"Lerum"	"14.06"	"05"
"25"	"gbg31"	31	"Lerum"	"14.06"	"06"
"26"	"gbg32"	32	"Lerum"	"14.06"	"07"
"27"	"gbg33"	33	"Lerum"	"14.06"	"08"
"28"	"gbg34"	34	"Lerum"	"14.06"	"09"
"29"	"gbg35"	35	"Lerum"	"14.06"	"10"
"30"	"gbg36"	36	"Lerum"	"14.06"	"S"
"31"	"gbg37"	37	"Botan"	"14.06"	"0"
"32"	"gbg38"	38	"Botan"	"14.06"	"01"
"33"	"gbg39"	39	"Botan"	"14.06"	"02"
"34"	"gbg4"	4	"Surtesjön"	"14.06"	"03"
"35"	"gbg40"	40	"Botan"	"14.06"	"03"
"36"	"gbg41"	41	"Botan"	"14.06"	"04"
"37"	"gbg42"	42	"Botan"	"14.06"	"05"
"38"	"gbg43"	43	"Botan"	"14.06"	"06"
"39"	"gbg44"	44	"Botan"	"14.06"	"07"
"40"	"gbg45"	45	"Botan"	"14.06"	"08"
"41"	"gbg46"	46	"Botan"	"14.06"	"09"
"42"	"gbg47"	47	"Botan"	"14.06"	"10"
"43"	"gbg48"	48	"Botan"	"14.06"	"S"
"44"	"gbg49"	1	"Surtesjön"	"28.06"	"0"
"45"	"gbg5"	5	"Surtesjön"	"14.06"	"04"
"46"	"gbg50"	2	"Surtesjön"	"28.06"	"01"
"47"	"gbg6"	6	"Surtesjön"	"14.06"	"05"
"48"	"gbg7"	7	"Surtesjön"	"14.06"	"06"
"49"	"gbg8"	8	"Surtesjön"	"14.06"	"07"
"50"	"gbg9"	9	"Surtesjön"	"14.06"	"08"
"51"	"gbg51"	3	"Surtesjön"	"28.06"	"02"
"52"	"gbg60"	12	"Surtesjön"	"28.06"	"S"
"53"	"gbg61"	13	"Delsjön"	"28.06"	"0"
"54"	"gbg62"	14	"Delsjön"	"28.06"	"01"
"55"	"gbg63"	15	"Delsjön"	"28.06"	"02"
"56"	"gbg64"	16	"Delsjön"	"28.06"	"03"
"57"	"gbg65"	17	"Delsjön"	"28.06"	"04"
"58"	"gbg66"	18	"Delsjön"	"28.06"	"05"
"59"	"gbg67"	19	"Delsjön"	"28.06"	"06"
"60"	"gbg68"	20	"Delsjön"	"28.06"	"07"
"61"	"gbg69"	21	"Delsjön"	"28.06"	"08"
"62"	"gbg52"	4	"Surtesjön"	"28.06"	"03"
"63"	"gbg70"	22	"Delsjön"	"28.06"	"09"
"64"	"gbg71"	23	"Delsjön"	"28.06"	"10"
"65"	"gbg72"	24	"Delsjön"	"28.06"	"S"
"66"	"gbg73"	25	"Lerum"	"28.06"	"0"
"67"	"gbg74"	26	"Lerum"	"28.06"	"01"
"68"	"gbg75"	27	"Lerum"	"28.06"	"02"
"69"	"gbg76"	28	"Lerum"	"28.06"	"03"
"70"	"gbg77"	29	"Lerum"	"28.06"	"04"
"71"	"gbg78"	30	"Lerum"	"28.06"	"05"
"72"	"gbg79"	31	"Lerum"	"28.06"	"06"
"73"	"gbg53"	5	"Surtesjön"	"28.06"	"04"
"74"	"gbg80"	32	"Lerum"	"28.06"	"07"
"75"	"gbg81"	33	"Lerum"	"28.06"	"08"
"76"	"gbg82"	34	"Lerum"	"28.06"	"09"
"77"	"gbg83"	35	"Lerum"	"28.06"	"10"
"78"	"gbg84"	36	"Lerum"	"28.06"	"S"
"79"	"gbg85"	37	"Botan"	"28.06"	"0"
"80"	"gbg86"	38	"Botan"	"28.06"	"01"
"81"	"gbg87"	39	"Botan"	"28.06"	"02"
"82"	"gbg88"	40	"Botan"	"28.06"	"03"
"83"	"gbg89"	41	"Botan"	"28.06"	"04"
"84"	"gbg54"	6	"Surtesjön"	"28.06"	"05"
"85"	"gbg90"	42	"Botan"	"28.06"	"05"
"86"	"gbg91"	43	"Botan"	"28.06"	"06"
"87"	"gbg92"	44	"Botan"	"28.06"	"07"
"88"	"gbg93"	45	"Botan"	"28.06"	"08"
"89"	"gbg94"	46	"Botan"	"28.06"	"09"
"90"	"gbg95"	47	"Botan"	"28.06"	"10"
"91"	"gbg97"	48	"Botan"	"28.06"	"S"
"92"	"gbg98"	1	"Surtesjön"	"12.07"	"0"
"93"	"gbg99"	2	"Surtesjön"	"12.07"	"01"
"94"	"gbg55"	7	"Surtesjön"	"28.06"	"06"
"95"	"gbg100"	3	"Surtesjön"	"12.07"	"02"
"96"	"gbg56"	8	"Surtesjön"	"28.06"	"07"
"97"	"gbg57"	9	"Surtesjön"	"28.06"	"08"
