Dilution,Treatment,mean,sdmin,sdmax
1,controle,0.005173425,0.002881247,0.007560431
2,controle,0.030826548,0.024809944,0.036842704
3,controle,0.03126795,0.01818493,0.044446908
4,controle,0.042214584,0.039349418,0.04536647
5,controle,0.053352218,0.03855001,0.06767693
6,controle,0.049114436,0.034693774,0.06353465
7,controle,0.024535554,0.021956658,0.02797304
8,controle,0.03958794,0.039779384,0.039588388
1,Phenol,0.024286,0.024285553,0.040424954
2,Phenol,0.035518907,0.03169876,0.03169876
3,Phenol,0.040735435,0.03328703,0.04808879
4,Phenol,0.03277345,0.03220046,0.033346213
5,Phenol,0.07781269,0.056134395,0.09939504
6,Phenol,0.062019408,0.05094185,0.07290642
1,Humic,0.021817118,0.020575419,0.023024935
2,Humic,0.049953416,0.046706032,0.053661857
3,Humic,0.067584254,0.051731788,0.08268193
4,Humic,0.07241923,0.06248743,0.08221822
5,Humic,0.07687155,0.066844255,0.08736606
6,Humic,0.12047854,0.101952136,0.1385464
7,Humic,0.06343031,0.048628546,0.07806911
