BOT	NO23	NH4	SiO2	PO4
1	10.09	2.88	6.67	<0.1
2	8.79	0.88	7.23	<0.1
3	8.15	0.99	4.70	<0.1
4	8.68	0.76	5.92	<0.1
5	11.09	2.08	9.81	<0.1
6	11.12	2.20	7.78	<0.1
7	10.79	1.93	8.35	<0.1
8	10.91	2.04	8.91	<0.1
9	11.29	2.95	8.25	<0.1
10	10.94	0.99	5.29	<0.1
11	11.05	1.07	7.41	<0.1
12	11.06	2.13	6.45	<0.1
13	22.05	1.01	17.24	<0.1
14	20.26	0.09	15.76	<0.1
15	18.00	0.81	18.01	<0.1
16	22.20	0.95	20.69	<0.1
17	21.77	0.86	23.51	<0.1
18	23.88	0.75	23.07	<0.1
19	23.84	2.32	21.21	<0.1
20	27.03	1.76	21.91	<0.1
21	20.13	1.60	14.84	<0.1
22	20.22	1.76	14.13	<0.1
23	23.88	1.09	16.21	<0.1
24	24.42	1.88	18.77	<0.1
25	30.04	0.76	17.62	<0.1
26	57.96	1.76	17.03	<0.1
27	59.44	0.96	15.38	<0.1
28	59.33	2.33	20.08	<0.1
29	52.63	0.99	19.76	<0.1
30	60.29	0.81	18.57	<0.1
31	41.66	0.74	21.93	<0.1
32	35.75	0.99	21.14	<0.1
33	52.15	0.75	19.93	<0.1
34	35.52	1.00	23.59	<0.1
35	33.38	0.84	19.93	<0.1
36	31.48	0.81	23.72	<0.1
37	1.24	5.22	9.39	<0.1
38	1.47	5.93	14.10	<0.1
39	1.26	6.00	27.85	<0.1
40	1.58	6.21	14.75	<0.1
41	1.54	5.97	18.30	<0.1
42	1.56	6.38	8.15	<0.1
43	1.48	5.77	25.13	<0.1
44	1.44	6.03	17.55	<0.1
45	1.52	5.51	18.12	<0.1
46	1.70	5.01	24.05	<0.1
47	1.53	5.97	14.58	<0.1
48	1.53	7.29	7.86	<0.1
