"BOT"	"Lake"	"Sampling"	"DIL"	"effN"	"PD"
"1"	1	"Lake 4"	14.06	"0"	13.5439170025257	5.961069355551
"2"	10	"Lake 4"	14.06	"09"	1.2981447226971	1.28372022541137
"3"	11	"Lake 4"	14.06	"10"	2.56427118212613	1.80569278964677
"4"	12	"Lake 4"	14.06	"S"	NA	NA
"5"	13	"Lake 2"	14.06	"0"	17.0982196988159	7.04341975078555
"6"	14	"Lake 2"	14.06	"01"	10.1544419922612	6.7120785308275
"7"	15	"Lake 2"	14.06	"02"	6.15889716788526	4.24536937054645
"8"	16	"Lake 2"	14.06	"03"	4.48777474966256	3.51618937905666
"9"	17	"Lake 2"	14.06	"04"	3.69391296172524	3.06637358313887
"10"	18	"Lake 2"	14.06	"05"	3.88085644874326	3.16970447282715
"11"	19	"Lake 2"	14.06	"06"	2.53494644594526	2.23338863904866
"12"	2	"Lake 4"	14.06	"01"	6.14010040222387	4.97914594232384
"13"	20	"Lake 2"	14.06	"07"	2.99043392368708	2.85366660665983
"14"	21	"Lake 2"	14.06	"08"	3.48009345704144	2.15507239682597
"15"	22	"Lake 2"	14.06	"09"	2.12844754011195	1.36016843036686
"16"	23	"Lake 2"	14.06	"10"	2.17871526292621	1.39522981171226
"17"	24	"Lake 2"	14.06	"S"	1.5132953428336	1.22452089208594
"18"	25	"Lake 3"	14.06	"0"	32.967495222816	13.5767595738682
"19"	26	"Lake 3"	14.06	"01"	10.0576121135591	6.77241462801042
"20"	27	"Lake 3"	14.06	"02"	5.49372741761762	3.93442021404735
"21"	28	"Lake 3"	14.06	"03"	5.1842198742472	3.90962300596431
"22"	29	"Lake 3"	14.06	"04"	1.97058801724617	1.91358417007834
"23"	3	"Lake 4"	14.06	"02"	4.44586347444714	3.93026124472534
"24"	30	"Lake 3"	14.06	"05"	3.44794448277379	2.90806081317161
"25"	31	"Lake 3"	14.06	"06"	2.16060912211396	2.09857998594996
"26"	32	"Lake 3"	14.06	"07"	1.83485325308808	1.71139541368212
"27"	33	"Lake 3"	14.06	"08"	2.72364911905073	2.27486990091631
