"OTU.ID"	"gbg25"	"gbg3"	"gbg1"	"gbg29"	"gbg17"	"gbg31"	"gbg22"	"gbg10"	"gbg49"	"gbg37"	"gbg27"	"gbg23"	"gbg24"	"gbg5"	"gbg21"	"gbg19"	"gbg7"	"gbg4"	"gbg8"	"gbg13"	"gbg36"	"gbg41"	"gbg14"	"gbg43"	"gbg15"	"gbg48"	"gbg30"	"gbg18"	"gbg6"	"gbg34"	"gbg39"	"gbg50"	"gbg40"	"gbg28"	"gbg26"	"gbg9"	"gbg45"	"gbg32"	"gbg42"	"gbg38"	"gbg46"	"gbg44"	"gbg20"	"gbg11"	"gbg2"	"gbg33"	"gbg16"	"gbg47"	"gbg35"	"gbg12"	"gbg86"	"gbg77"	"gbg65"	"gbg71"	"gbg63"	"gbg79"	"gbg60"	"gbg73"	"gbg88"	"gbg85"	"gbg75"	"gbg72"	"gbg95"	"gbg62"	"gbg74"	"gbg89"	"gbg51"	"gbg58"	"gbg61"	"gbg76"	"gbg52"	"gbg67"	"gbg56"	"gbg53"	"gbg87"	"gbg92"	"gbg98"	"gbg80"	"gbg82"	"gbg64"	"gbg91"	"gbg54"	"gbg57"	"gbg93"	"gbg81"	"gbg68"	"gbg78"	"gbg70"	"gbg100"	"gbg69"	"gbg55"	"gbg66"	"gbg94"	"gbg99"	"gbg90"	"gbg83"	"gbg84"	"gbg59"	"gbg97"	"gbg117"	"gbg111"	"gbg118"	"gbg125"	"gbg101"	"gbg115"	"gbg106"	"gbg121"	"gbg127"	"gbg110"	"gbg112"	"gbg103"	"gbg113"	"gbg107"	"gbg140"	"gbg120"	"gbg132"	"gbg119"	"gbg136"	"gbg108"	"gbg123"	"gbg130"	"gbg135"	"gbg105"	"gbg126"	"gbg128"	"gbg102"	"gbg109"	"gbg104"	"gbg124"	"gbg141"	"gbg139"	"gbg114"	"gbg122"	"gbg131"	"gbg145"	"gbg138"	"gbg129"	"gbg134"	"gbg137"	"gbg116"	"gbg142"	"gbg133"	"gbg144"	"gbg143"
"1"	"OTU_34"	6403	143	3206	2	16	1	0	1	1105	4	79	1	0	2	0	2	1	46	0	2627	0	1	712	0	51	0	1	1	5	0	2	453	0	11	253	0	1	0	8	1	0	0	0	0	299	0	5	0	0	0	3	7	3	1	36	0	1	2985	0	0	624	0	0	389	75	0	133	0	1492	22	51	0	1	9	0	0	406	0	1	26	0	1	0	0	0	0	2	0	31	0	0	0	0	124	1	1	0	0	0	0	256	1	12	17	0	0	0	0	833	34	3	4	0	0	0	0	0	2	0	66	1	0	0	0	0	12	0	1	59	0	0	2	425	0	0	1	0	0	0	0	0	0	0	0
"2"	"OTU_1"	345	13400	27	3	14300	7	0	0	9	17	4	8	0	14080	3682	12390	3	27190	2	21	0	21	6703	5	3817	0	3	7645	24910	4	20	3283	28	5	5	2	2	2	3	6	35	18	3567	1	6396	2	1787	4	1	0	8	5	426	13	1115	0	1	335	15	6	2	0	0	5113	2	77	8789	0	45	3	15350	2223	157	7043	23	106	7	2	5	725	3	9828	2	4	2	2730	2	2	1086	3275	1	549	3	867	13	0	1	0	1	584	978	5376	1	10480	561	1	1	0	33	707	185	840	0	5	1	0	5	27	1	3	0	2	683	0	3	6140	1	5	2	27	10	1615	398	4	1	131	1	6	8	187	0	1	0	0
"3"	"OTU_6"	4163	18	701	5	2	6	0	0	535	8773	58	1	1	3	3	2	0	12	0	1125	0	6201	125	968	23	2	0	2	3	2	6075	48	7969	11	255	2	9729	1	2489	6075	5822	6358	1	0	53	0	0	2340	2	0	2543	1	1	5	3	2	1	2708	2413	5903	90	2	6144	61	4	6160	11	0	574	12	4	0	3	0	4907	9149	524	2	1	6	440	2	0	5457	5	0	0	0	2	1	0	3	5683	27	2541	1	1	0	2	0	35	5	21	2	0	1	0	3	955	4	0	3	0	224	0	2	4	2357	0	15	2	3740	13	0	0	0	0	1	23	2796	768	1	3823	2	3	1700	5	946	1145	5	1586	0	1324	1190
"4"	"OTU_2"	47	341	2	4550	2150	6335	4581	3	7	2	2658	8024	0	100	3850	1222	6191	264	1	44	4	1	3867	10	2055	2937	1721	1497	10	76	7	260	25	3814	2051	3	6	562	1	2	2	0	1338	1	347	142	679	0	17	0	4	3261	879	23360	406	963	524	558	45	2	1877	2	5	1201	184	3	119	9	251	284	229	939	1	419	5	36	45	430	94	825	12	2	2	79	450	814	1381	3353	73	4131	4788	748	1667	537	1	160	48	230	1332	198	1402	4647	695	2616	822	4	9	552	4271	2912	843	1726	320	85	1384	225	10260	7	1160	879	144	2	12	157	529	468	2008	8865	178	214	3	1138	540	147	6967	1	164	9	233	191	470	97	0	1167
"5"	"OTU_13"	735	0	0	20870	4	1	15	0	0	0	10440	1	0	0	1	17	0	2	0	2	0	0	7	2	0	0	2	0	1	0	0	77	0	350	4284	0	1	49	0	0	1	1	0	0	19	0	0	0	0	0	0	18800	0	4	0	4	0	11	0	1	1084	0	0	5	250	0	0	0	0	4	2	1	0	1	1	0	0	31	0	0	0	0	0	0	8	0	6	0	0	0	0	0	6	45	1	2	0	0	0	0	0	0	1	0	0	0	0	597	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	126	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
"6"	"OTU_38"	34	0	0	0	419	1	0	0	0	0	81	0	0	0	1298	122	0	0	0	2	0	0	527	2	206	0	0	243	0	0	1	0	0	1	962	0	1	0	0	0	0	0	114	0	0	0	51	0	0	0	0	0	35	0	29	0	0	5	0	0	205	0	0	359	0	0	0	0	0	1	0	30	0	0	0	1	0	0	0	34	0	0	0	0	0	42	0	0	0	1218	0	32	0	0	0	0	0	0	0	5	6	1619	14	0	10	0	0	0	0	15	0	5	0	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	10	0	0	11	0	0	0	0	0	0	0	6	0	0	0	0
"7"	"OTU_49"	248	2479	1	627	38	2977	0	0	0	0	4066	2	160	0	1	0	1	1	2	0	40	1	24	3	18	48	2310	1	3	1257	3	94	1	587	1712	2347	1	5376	0	1	2	1	0	145	187	1854	2	0	911	0	0	1788	42	3	15	2869	3	28	0	1	4148	496	24	16	3198	33	1000	0	0	4216	0	0	2	0	0	1	0	3697	2515	40	0	1	596	2	6258	0	2961	0	433	1	0	0	40	75	0	1508	1225	618	10	1	6	10	5400	3	0	1398	694	3815	1	26	5	44	1	0	0	5589	0	0	238	3234	4892	1	2	1610	5621	0	3	0	6099	1	1	42	7	3786	42	0	7295	0	1	0	1	1688	4	8
"8"	"OTU_20"	0	2	0	0	0	0	5805	0	0	0	0	9423	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	9379	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1720	1	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	0	0	0	0	0	0	632	3	640	0	0	6	1	2	0	0	3	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
"9"	"OTU_12"	2	0	0	0	2	0	10	14950	0	0	0	1	0	1	1	0	1	1	2	0	0	14	2	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	1	1	1	2	2	0	0	1	36	2	0	0	0	16840	1	3	2	0	1	4	0	2	0	0	0	0	0	1	6	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	3	4	1	1	1	0	0	7	1	2	1	17610	0	0	0	0	0	9	0	0	6	4	0	0	2	7	0	3	1	0	2	4	2	0	0	1	0	1	1	0	2	7	1
"10"	"OTU_23"	953	0	11	0	0	0	0	0	1164	0	84	0	0	0	0	0	0	19	0	6	0	0	9	0	0	0	0	0	1	0	0	3389	0	0	54	0	0	1	1	0	0	0	1	0	30	6	0	1	0	0	1	0	0	1	0	0	0	95	0	0	21	0	0	99	601	0	3092	0	8	15	9726	1	0	0	1	0	151	0	0	0	0	0	0	0	4318	0	2	0	571	0	0	0	0	373	0	0	0	0	0	0	21	0	1	2337	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	990	0	0	0	0	2	0	0	1153	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
