"BOT"	"Lake"	"DIN"
"1"	1	"Lake 4"	-0.52647610594506
"2"	10	"Lake 4"	0.0830249888781641
"3"	11	"Lake 4"	-0.0283261726760796
"4"	12	"Lake 4"	-0.655409029849975
"5"	13	"Lake 2"	0.17533461174314
"6"	14	"Lake 2"	1.15168419631282
"7"	15	"Lake 2"	1.70651015950002
"8"	16	"Lake 2"	0.142909717790642
"9"	17	"Lake 2"	0.33025354951619
"10"	18	"Lake 2"	-0.390299649428223
"11"	19	"Lake 2"	-0.9415228466207
"12"	2	"Lake 4"	1.40751775262863
"13"	20	"Lake 2"	-1.8890503032326
"14"	21	"Lake 2"	0.654502489041175
"15"	22	"Lake 2"	0.564433339173123
"16"	23	"Lake 2"	-0.512793693248773
"17"	24	"Lake 2"	-0.991961570546809
"18"	25	"Lake 3"	1.28769911628133
"19"	26	"Lake 3"	-1.03052001176905
"20"	27	"Lake 3"	-1.08502862197217
"21"	28	"Lake 3"	-1.18602987028972
"22"	29	"Lake 3"	-0.541545714358703
"23"	3	"Lake 4"	1.71812888749047
"24"	30	"Lake 3"	-1.14114042659303
"25"	31	"Lake 3"	0.357846353992793
"26"	32	"Lake 3"	0.811550374212888
"27"	33	"Lake 3"	-0.483830715320104
"28"	34	"Lake 3"	0.829185512808015
"29"	35	"Lake 3"	1.01355287084798
"30"	36	"Lake 3"	1.16826113215978
"31"	37	"Lake 1"	1.60256392039438
"32"	38	"Lake 1"	0.0468908548136049
"33"	39	"Lake 1"	0.278586843304358
"34"	4	"Lake 4"	1.54231126398377
"35"	40	"Lake 1"	-0.598547970267781
"36"	41	"Lake 1"	-0.135155993286273
"37"	42	"Lake 1"	-0.846793672222159
"38"	43	"Lake 1"	0.295136556767983
"39"	44	"Lake 1"	-0.0689571394317738
"40"	45	"Lake 1"	0.659230252967739
"41"	46	"Lake 1"	1.18882108380375
"42"	47	"Lake 1"	-0.118606279822649
"43"	48	"Lake 1"	-2.30316845702118
"44"	5	"Lake 4"	-0.643687854949527
"45"	6	"Lake 4"	-0.731596666702877
"46"	7	"Lake 4"	-0.379961419689477
"47"	8	"Lake 4"	-0.514754931044614
"48"	9	"Lake 4"	-1.27077071212342
