"BOT"	"Lake"	"DIL"	"Stability"
"1"	"01"	"Lake 4"	"0"	9.12229052066543
"2"	"02"	"Lake 4"	"01"	11.4884538862772
"3"	"03"	"Lake 4"	"02"	11.7144963883843
"4"	"04"	"Lake 4"	"03"	13.273856685461
"5"	"05"	"Lake 4"	"04"	9.01355766824165
"6"	"06"	"Lake 4"	"05"	2.67009976998637
"7"	"07"	"Lake 4"	"06"	7.67195343331588
"8"	"08"	"Lake 4"	"07"	7.22303866905277
"9"	"09"	"Lake 4"	"08"	5.70419768311875
"10"	"10"	"Lake 4"	"09"	6.94238007923656
"11"	"11"	"Lake 4"	"10"	3.50759644183316
"12"	"12"	"Lake 4"	"S"	5.43836678413612
"13"	"13"	"Lake 2"	"0"	7.10020906201513
"14"	"14"	"Lake 2"	"01"	6.54149095201605
"15"	"15"	"Lake 2"	"02"	4.02643019315851
"16"	"16"	"Lake 2"	"03"	3.11276306023047
"17"	"17"	"Lake 2"	"04"	3.06537983717794
"18"	"18"	"Lake 2"	"05"	3.28642343325408
"19"	"19"	"Lake 2"	"06"	2.80286265182742
"20"	"20"	"Lake 2"	"07"	3.61202929778095
"21"	"21"	"Lake 2"	"08"	6.850336281887
"22"	"22"	"Lake 2"	"09"	4.49166030502336
"23"	"23"	"Lake 2"	"10"	2.52243035790399
"24"	"24"	"Lake 2"	"S"	1.85095153019661
"25"	"25"	"Lake 3"	"0"	5.04088698069492
"26"	"26"	"Lake 3"	"01"	3.27622408392926
"27"	"27"	"Lake 3"	"02"	5.01446592382832
"28"	"28"	"Lake 3"	"03"	2.7198760966122
"29"	"29"	"Lake 3"	"04"	3.15289328987064
"30"	"30"	"Lake 3"	"05"	3.23816086707229
"31"	"31"	"Lake 3"	"06"	7.3219644475204
"32"	"32"	"Lake 3"	"07"	5.85869744677824
"33"	"33"	"Lake 3"	"08"	7.83590507778994
"34"	"34"	"Lake 3"	"09"	5.1785922841761
"35"	"35"	"Lake 3"	"10"	7.18458591588879
"36"	"36"	"Lake 3"	"S"	3.65044310120597
"37"	"37"	"Lake 1"	"0"	10.4009175211773
"38"	"38"	"Lake 1"	"01"	10.5906710746025
"39"	"39"	"Lake 1"	"02"	8.80554185585588
"40"	"40"	"Lake 1"	"03"	12.0883535092576
"41"	"41"	"Lake 1"	"04"	9.3513444598187
"42"	"42"	"Lake 1"	"05"	8.20338459431609
"43"	"43"	"Lake 1"	"06"	6.91571382116626
"44"	"44"	"Lake 1"	"07"	10.099255180875
"45"	"45"	"Lake 1"	"08"	8.74761460536246
"46"	"46"	"Lake 1"	"09"	8.17488598604784
"47"	"47"	"Lake 1"	"10"	8.5253127072087
"48"	"48"	"Lake 1"	"S"	3.37522098467238
