"BOT"	"Lake"	"DIL"	"maxCells"
"1"	"01"	"Lake 4"	"0"	3365145.61333026
"2"	"02"	"Lake 4"	"01"	1525146.01294211
"3"	"03"	"Lake 4"	"02"	1344363.96788508
"4"	"04"	"Lake 4"	"03"	1770631.47821164
"5"	"05"	"Lake 4"	"04"	1979028.96923107
"6"	"06"	"Lake 4"	"05"	1534445.83819399
"7"	"07"	"Lake 4"	"06"	856852.53175691
"8"	"08"	"Lake 4"	"07"	529325.506626298
"9"	"09"	"Lake 4"	"08"	537746.53803318
"10"	"10"	"Lake 4"	"09"	463681.041563319
"11"	"11"	"Lake 4"	"10"	197318.810120118
"12"	"12"	"Lake 4"	"S"	277419.156826006
"13"	"13"	"Lake 2"	"0"	2698689.92090895
"14"	"14"	"Lake 2"	"01"	1319044.99262642
"15"	"15"	"Lake 2"	"02"	1040811.57570007
"16"	"16"	"Lake 2"	"03"	1082643.65676266
"17"	"17"	"Lake 2"	"04"	1230041.81234616
"18"	"18"	"Lake 2"	"05"	1074727.87672119
"19"	"19"	"Lake 2"	"06"	1296807.03601176
"20"	"20"	"Lake 2"	"07"	946157.102969661
"21"	"21"	"Lake 2"	"08"	1319539.59068017
"22"	"22"	"Lake 2"	"09"	743446.150541822
"23"	"23"	"Lake 2"	"10"	653951.449734009
"24"	"24"	"Lake 2"	"S"	579739.420181992
"25"	"25"	"Lake 3"	"0"	3863301.18613557
"26"	"26"	"Lake 3"	"01"	3928614.98074929
"27"	"27"	"Lake 3"	"02"	2094888.58774389
"28"	"28"	"Lake 3"	"03"	2016756.55412344
"29"	"29"	"Lake 3"	"04"	2376161.32166182
"30"	"30"	"Lake 3"	"05"	2216371.78365194
"31"	"31"	"Lake 3"	"06"	1733964.41063583
"32"	"32"	"Lake 3"	"07"	2034794.45730183
"33"	"33"	"Lake 3"	"08"	1500724.80815101
"34"	"34"	"Lake 3"	"09"	1251186.84483895
"35"	"35"	"Lake 3"	"10"	1864485.75386812
"36"	"36"	"Lake 3"	"S"	1056094.24133535
"37"	"37"	"Lake 1"	"0"	2416618.92804297
"38"	"38"	"Lake 1"	"01"	1527579.4890188
"39"	"39"	"Lake 1"	"02"	1345502.34324945
"40"	"40"	"Lake 1"	"03"	1096862.30924042
"41"	"41"	"Lake 1"	"04"	1339145.13669394
"42"	"42"	"Lake 1"	"05"	996709.654027562
"43"	"43"	"Lake 1"	"06"	690481.320201902
"44"	"44"	"Lake 1"	"07"	1466560.49296182
"45"	"45"	"Lake 1"	"08"	1170507.86518307
"46"	"46"	"Lake 1"	"09"	1179771.1894753
"47"	"47"	"Lake 1"	"10"	924925.083299569
"48"	"48"	"Lake 1"	"S"	462185.298400651
